geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Honolulu,driving,NA,Hawaii,United States,2020-04-03,38.86
city,Honolulu,driving,NA,Hawaii,United States,2020-04-04,35.49
city,Honolulu,driving,NA,Hawaii,United States,2020-04-05,27.61
city,Honolulu,driving,NA,Hawaii,United States,2020-04-06,34.09
city,Honolulu,driving,NA,Hawaii,United States,2020-04-07,34.95
city,Honolulu,driving,NA,Hawaii,United States,2020-04-08,34.8
city,Honolulu,driving,NA,Hawaii,United States,2020-04-09,35.69
city,Honolulu,driving,NA,Hawaii,United States,2020-04-10,38.98
city,Honolulu,driving,NA,Hawaii,United States,2020-04-11,34.21
city,Honolulu,driving,NA,Hawaii,United States,2020-04-12,23.45
city,Honolulu,driving,NA,Hawaii,United States,2020-04-13,34.48
city,Honolulu,driving,NA,Hawaii,United States,2020-04-14,34.47
city,Honolulu,driving,NA,Hawaii,United States,2020-04-15,38.37
city,Honolulu,driving,NA,Hawaii,United States,2020-04-16,37.52
city,Honolulu,driving,NA,Hawaii,United States,2020-04-17,42.41
city,Honolulu,driving,NA,Hawaii,United States,2020-04-18,39.36
city,Honolulu,driving,NA,Hawaii,United States,2020-04-19,31.03
city,Honolulu,driving,NA,Hawaii,United States,2020-04-20,38.02
city,Honolulu,driving,NA,Hawaii,United States,2020-04-21,38
city,Honolulu,driving,NA,Hawaii,United States,2020-04-22,38.86
city,Honolulu,driving,NA,Hawaii,United States,2020-04-23,37.76
city,Honolulu,driving,NA,Hawaii,United States,2020-04-24,42.25
city,Honolulu,driving,NA,Hawaii,United States,2020-04-25,40.92
city,Honolulu,driving,NA,Hawaii,United States,2020-04-26,32.73
city,Honolulu,driving,NA,Hawaii,United States,2020-04-27,38.81
city,Honolulu,driving,NA,Hawaii,United States,2020-04-28,39.78
city,Honolulu,driving,NA,Hawaii,United States,2020-04-29,40.97
city,Honolulu,driving,NA,Hawaii,United States,2020-04-30,46.88
city,Honolulu,driving,NA,Hawaii,United States,2020-05-01,48.86
city,Honolulu,driving,NA,Hawaii,United States,2020-05-02,47.6
city,Honolulu,driving,NA,Hawaii,United States,2020-05-03,36.4
city,Honolulu,driving,NA,Hawaii,United States,2020-05-04,44.1
city,Honolulu,driving,NA,Hawaii,United States,2020-05-05,45.71
city,Honolulu,driving,NA,Hawaii,United States,2020-05-06,50.1
city,Honolulu,driving,NA,Hawaii,United States,2020-05-07,46.29
city,Honolulu,driving,NA,Hawaii,United States,2020-05-08,54
city,Honolulu,driving,NA,Hawaii,United States,2020-05-09,56.69
city,Honolulu,driving,NA,Hawaii,United States,2020-05-10,42.84
city,Honolulu,driving,NA,Hawaii,United States,2020-05-11,NA
city,Honolulu,driving,NA,Hawaii,United States,2020-05-12,NA
city,Honolulu,driving,NA,Hawaii,United States,2020-05-13,49.62
city,Honolulu,driving,NA,Hawaii,United States,2020-05-14,51.37
city,Honolulu,driving,NA,Hawaii,United States,2020-05-15,62.93
city,Honolulu,driving,NA,Hawaii,United States,2020-05-16,61.07
city,Honolulu,driving,NA,Hawaii,United States,2020-05-17,51.63
city,Honolulu,driving,NA,Hawaii,United States,2020-05-18,53.26
city,Honolulu,driving,NA,Hawaii,United States,2020-05-19,55.34
city,Honolulu,driving,NA,Hawaii,United States,2020-05-20,57.06
city,Honolulu,driving,NA,Hawaii,United States,2020-05-21,60.14
city,Honolulu,driving,NA,Hawaii,United States,2020-05-22,70.5
city,Honolulu,driving,NA,Hawaii,United States,2020-05-23,68.57
city,Honolulu,driving,NA,Hawaii,United States,2020-05-24,57.34
city,Honolulu,driving,NA,Hawaii,United States,2020-05-25,52.95
city,Honolulu,driving,NA,Hawaii,United States,2020-05-26,57.47
city,Honolulu,driving,NA,Hawaii,United States,2020-05-27,60.07
city,Honolulu,driving,NA,Hawaii,United States,2020-05-28,62.14
city,Honolulu,driving,NA,Hawaii,United States,2020-05-29,74.22
city,Honolulu,driving,NA,Hawaii,United States,2020-05-30,73.11
city,Honolulu,driving,NA,Hawaii,United States,2020-05-31,58.86
city,Honolulu,driving,NA,Hawaii,United States,2020-06-01,62.23
city,Honolulu,driving,NA,Hawaii,United States,2020-06-02,62.84
city,Honolulu,driving,NA,Hawaii,United States,2020-06-03,63.23
city,Honolulu,driving,NA,Hawaii,United States,2020-06-04,65.21
city,Honolulu,driving,NA,Hawaii,United States,2020-06-05,77.17
city,Honolulu,driving,NA,Hawaii,United States,2020-06-06,78.96
