"geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19","X2020.09.20","X2020.09.21","X2020.09.22","X2020.09.23","X2020.09.24","X2020.09.25","X2020.09.26","X2020.09.27","X2020.09.28","X2020.09.29","X2020.09.30","X2020.10.01","X2020.10.02","X2020.10.03","X2020.10.04","X2020.10.05","X2020.10.06","X2020.10.07","X2020.10.08","X2020.10.09","X2020.10.10","X2020.10.11","X2020.10.12","X2020.10.13","X2020.10.14","X2020.10.15","X2020.10.16","X2020.10.17","X2020.10.18","X2020.10.19","X2020.10.20","X2020.10.21","X2020.10.22","X2020.10.23","X2020.10.24","X2020.10.25","X2020.10.26","X2020.10.27","X2020.10.28","X2020.10.29","X2020.10.30","X2020.10.31","X2020.11.01","X2020.11.02","X2020.11.03","X2020.11.04","X2020.11.05","X2020.11.06","X2020.11.07","X2020.11.08","X2020.11.09","X2020.11.10","X2020.11.11","X2020.11.12","X2020.11.13","X2020.11.14","X2020.11.15","X2020.11.16","X2020.11.17","X2020.11.18","X2020.11.19","X2020.11.20","X2020.11.21","X2020.11.22","X2020.11.23","X2020.11.24","X2020.11.25","X2020.11.26","X2020.11.27","X2020.11.28","X2020.11.29","X2020.11.30","X2020.12.01","X2020.12.02","X2020.12.03","X2020.12.04","X2020.12.05","X2020.12.06","X2020.12.07","X2020.12.08","X2020.12.09","X2020.12.10","X2020.12.11","X2020.12.12","X2020.12.13","X2020.12.14","X2020.12.15","X2020.12.16","X2020.12.17","X2020.12.18","X2020.12.19","X2020.12.20","X2020.12.21","X2020.12.22","X2020.12.23","X2020.12.24","X2020.12.25","X2020.12.26","X2020.12.27","X2020.12.28","X2020.12.29","X2020.12.30","X2020.12.31","X2021.01.01","X2021.01.02","X2021.01.03","X2021.01.04","X2021.01.05","X2021.01.06","X2021.01.07","X2021.01.08","X2021.01.09","X2021.01.10","X2021.01.11","X2021.01.12","X2021.01.13","X2021.01.14","X2021.01.15","X2021.01.16","X2021.01.17","X2021.01.18","X2021.01.19","X2021.01.20","X2021.01.21","X2021.01.22","X2021.01.23","X2021.01.24","X2021.01.25","X2021.01.26","X2021.01.27","X2021.01.28","X2021.01.29","X2021.01.30","X2021.01.31","X2021.02.01","X2021.02.02","X2021.02.03","X2021.02.04","X2021.02.05","X2021.02.06","X2021.02.07","X2021.02.08","X2021.02.09","X2021.02.10","X2021.02.11","X2021.02.12","X2021.02.13","X2021.02.14","X2021.02.15","X2021.02.16","X2021.02.17","X2021.02.18","X2021.02.19","X2021.02.20","X2021.02.21","X2021.02.22","X2021.02.23","X2021.02.24","X2021.02.25","X2021.02.26","X2021.02.27","X2021.02.28","X2021.03.01","X2021.03.02","X2021.03.03","X2021.03.04","X2021.03.05","X2021.03.06","X2021.03.07","X2021.03.08","X2021.03.09","X2021.03.10","X2021.03.11","X2021.03.12","X2021.03.13","X2021.03.14","X2021.03.15","X2021.03.16","X2021.03.17","X2021.03.18","X2021.03.19","X2021.03.20","X2021.03.21","X2021.03.22","X2021.03.23","X2021.03.24","X2021.03.25","X2021.03.26","X2021.03.27","X2021.03.28","X2021.03.29","X2021.03.30","X2021.03.31","X2021.04.01","X2021.04.02","X2021.04.03","X2021.04.04","X2021.04.05","X2021.04.06","X2021.04.07","X2021.04.08","X2021.04.09","X2021.04.10","X2021.04.11","X2021.04.12","X2021.04.13","X2021.04.14","X2021.04.15","X2021.04.16","X2021.04.17","X2021.04.18","X2021.04.19","X2021.04.20","X2021.04.21","X2021.04.22","X2021.04.23","X2021.04.24","X2021.04.25","X2021.04.26","X2021.04.27","X2021.04.28","X2021.04.29","X2021.04.30","X2021.05.01","X2021.05.02","X2021.05.03","X2021.05.04","X2021.05.05","X2021.05.06","X2021.05.07","X2021.05.08","X2021.05.09","X2021.05.10","X2021.05.11","X2021.05.12","X2021.05.13","X2021.05.14","X2021.05.15","X2021.05.16","X2021.05.17","X2021.05.18","X2021.05.19","X2021.05.20","X2021.05.21","X2021.05.22","X2021.05.23","X2021.05.24","X2021.05.25","X2021.05.26","X2021.05.27","X2021.05.28","X2021.05.29","X2021.05.30","X2021.05.31","X2021.06.01","X2021.06.02","X2021.06.03","X2021.06.04","X2021.06.05","X2021.06.06","X2021.06.07","X2021.06.08","X2021.06.09","X2021.06.10","X2021.06.11","X2021.06.12","X2021.06.13","X2021.06.14","X2021.06.15","X2021.06.16","X2021.06.17","X2021.06.18","X2021.06.19","X2021.06.20","X2021.06.21","X2021.06.22","X2021.06.23","X2021.06.24","X2021.06.25","X2021.06.26","X2021.06.27","X2021.06.28","X2021.06.29","X2021.06.30","X2021.07.01","X2021.07.02","X2021.07.03","X2021.07.04","X2021.07.05","X2021.07.06","X2021.07.07","X2021.07.08","X2021.07.09","X2021.07.10","X2021.07.11","X2021.07.12","X2021.07.13","X2021.07.14","X2021.07.15","X2021.07.16","X2021.07.17","X2021.07.18","X2021.07.19","X2021.07.20","X2021.07.21","X2021.07.22","X2021.07.23","X2021.07.24","X2021.07.25","X2021.07.26","X2021.07.27","X2021.07.28","X2021.07.29","X2021.07.30","X2021.07.31","X2021.08.01","X2021.08.02","X2021.08.03","X2021.08.04","X2021.08.05","X2021.08.06","X2021.08.07","X2021.08.08","X2021.08.09","X2021.08.10","X2021.08.11","X2021.08.12","X2021.08.13","X2021.08.14","X2021.08.15","X2021.08.16","X2021.08.17","X2021.08.18","X2021.08.19","X2021.08.20","X2021.08.21","X2021.08.22","X2021.08.23","X2021.08.24","X2021.08.25","X2021.08.26","X2021.08.27","X2021.08.28","X2021.08.29","X2021.08.30","X2021.08.31","X2021.09.01","X2021.09.02","X2021.09.03","X2021.09.04","X2021.09.05","X2021.09.06","X2021.09.07","X2021.09.08","X2021.09.09","X2021.09.10","X2021.09.11","X2021.09.12","X2021.09.13","X2021.09.14","X2021.09.15","X2021.09.16","X2021.09.17","X2021.09.18","X2021.09.19","X2021.09.20","X2021.09.21","X2021.09.22","X2021.09.23","X2021.09.24","X2021.09.25","X2021.09.26","X2021.09.27","X2021.09.28","X2021.09.29","X2021.09.30","X2021.10.01","X2021.10.02","X2021.10.03","X2021.10.04","X2021.10.05","X2021.10.06","X2021.10.07","X2021.10.08","X2021.10.09","X2021.10.10","X2021.10.11","X2021.10.12","X2021.10.13","X2021.10.14","X2021.10.15","X2021.10.16","X2021.10.17","X2021.10.18","X2021.10.19","X2021.10.20","X2021.10.21","X2021.10.22","X2021.10.23","X2021.10.24","X2021.10.25","X2021.10.26","X2021.10.27","X2021.10.28","X2021.10.29","X2021.10.30","X2021.10.31","X2021.11.01","X2021.11.02","X2021.11.03","X2021.11.04","X2021.11.05","X2021.11.06","X2021.11.07","X2021.11.08","X2021.11.09","X2021.11.10","X2021.11.11","X2021.11.12","X2021.11.13","X2021.11.14","X2021.11.15","X2021.11.16","X2021.11.17","X2021.11.18","X2021.11.19","X2021.11.20","X2021.11.21","X2021.11.22","X2021.11.23","X2021.11.24","X2021.11.25","X2021.11.26","X2021.11.27","X2021.11.28","X2021.11.29","X2021.11.30","X2021.12.01","X2021.12.02","X2021.12.03","X2021.12.04","X2021.12.05","X2021.12.06","X2021.12.07","X2021.12.08","X2021.12.09","X2021.12.10","X2021.12.11","X2021.12.12","X2021.12.13","X2021.12.14","X2021.12.15","X2021.12.16","X2021.12.17","X2021.12.18","X2021.12.19","X2021.12.20","X2021.12.21","X2021.12.22","X2021.12.23","X2021.12.24","X2021.12.25","X2021.12.26","X2021.12.27","X2021.12.28","X2021.12.29","X2021.12.30","X2021.12.31","X2022.01.01","X2022.01.02","X2022.01.03","X2022.01.04","X2022.01.05","X2022.01.06","X2022.01.07","X2022.01.08","X2022.01.09","X2022.01.10","X2022.01.11","X2022.01.12","X2022.01.13","X2022.01.14","X2022.01.15","X2022.01.16","X2022.01.17","X2022.01.18","X2022.01.19","X2022.01.20","X2022.01.21","X2022.01.22","X2022.01.23","X2022.01.24","X2022.01.25","X2022.01.26","X2022.01.27","X2022.01.28","X2022.01.29","X2022.01.30","X2022.01.31","X2022.02.01","X2022.02.02","X2022.02.03","X2022.02.04","X2022.02.05","X2022.02.06","X2022.02.07","X2022.02.08","X2022.02.09","X2022.02.10","X2022.02.11","X2022.02.12","X2022.02.13","X2022.02.14","X2022.02.15","X2022.02.16","X2022.02.17","X2022.02.18","X2022.02.19","X2022.02.20","X2022.02.21","X2022.02.22","X2022.02.23","X2022.02.24","X2022.02.25","X2022.02.26","X2022.02.27","X2022.02.28","X2022.03.01","X2022.03.02","X2022.03.03","X2022.03.04","X2022.03.05","X2022.03.06","X2022.03.07","X2022.03.08","X2022.03.09","X2022.03.10","X2022.03.11","X2022.03.12","X2022.03.13","X2022.03.14","X2022.03.15","X2022.03.16","X2022.03.17","X2022.03.18","X2022.03.19","X2022.03.20","X2022.03.21","X2022.03.22","X2022.03.23","X2022.03.24","X2022.03.25","X2022.03.26","X2022.03.27","X2022.03.28","X2022.03.29","X2022.03.30","X2022.03.31","X2022.04.01","X2022.04.02","X2022.04.03","X2022.04.04","X2022.04.05","X2022.04.06","X2022.04.07","X2022.04.08","X2022.04.09","X2022.04.10","X2022.04.11","X2022.04.12"
"city","Phoenix","driving","","Arizona","United States",100,104.44,107.22,111.28,126.12,115.83,85.22,98.21,103.91,104.83,108,120.78,114.22,77.21,100,104.85,107.67,113.59,127.74,118.67,77.06,99.86,105.39,104.65,109,127.32,124.05,83.69,101.79,106.02,111.81,120,138.14,121.81,90.82,106.32,110.32,115.63,118.88,135.8,129.21,99.78,112.94,116.18,117.12,121.89,136.75,142.68,98.21,111.98,115.34,117.72,124.28,140.43,130.55,94.02,111.09,111.02,109.11,105.42,113.62,106.86,76.55,89.34,83.27,71.5,72.25,75.97,65.89,47.46,61.65,60.94,60.33,60.62,65.84,59.57,45.26,57.83,56.68,53.33,54.9,62.22,53.69,41.56,53.65,55.23,55.34,57.84,64.9,56.81,36.59,56.36,58.32,63.09,63.64,72.41,65.56,50.41,64.17,63.3,64.67,67.15,74.82,68.52,51.95,65.42,66.69,68.25,71.37,81.61,75.87,56.97,71.39,74.3,73.47,75.86,87.05,81.47,58.8,NA,NA,82.76,86.16,99.27,94.46,73.32,89.59,92.46,94.24,98,111.41,99.43,79.71,78.66,95.37,97.49,99.3,110.96,103.63,74.32,90.53,92.35,96.03,98.61,110.23,104.05,81.19,98.97,100.35,101.12,104.32,115.58,111.2,84.11,99.23,101.26,101.78,103.95,115.43,105.64,75.57,98.26,101.7,100.72,102.39,113.55,104.28,79.44,95.83,97.73,99.24,103.88,99.19,74.45,69.45,92,94.51,95.44,97.22,107,96.3,74.68,92.78,95.76,97.39,102.7,109.87,100.7,77.64,94.26,97.36,99.2,100.71,111.93,105.53,81.7,97.23,99.65,103.79,104.69,115.51,111.57,85.14,100.43,102.72,100.07,102.48,116.93,111.19,84.28,97.55,101.6,101.83,104.75,122.16,114.94,86.59,102.15,103.9,105.16,105.97,122.39,117.77,87.51,98.49,100.83,102.29,104.59,119.49,114.1,85.85,100.24,103.26,105.27,109.8,127.03,114.17,88.96,86.82,101.46,105.4,109.07,122.34,121.95,88.25,103.31,104.03,106.16,108.93,127.26,122.25,89.29,100.56,102.39,104.12,106.45,122.44,121.16,85.96,97.22,98.36,101.96,106.59,120.98,117.05,84.54,97.11,98.9,101.93,106.02,121.69,117.39,86.04,98.01,100.41,103.82,107.64,125.59,126.95,90.79,98.24,100.98,103.23,110.78,127.31,127.93,90.77,99.23,101.3,103.19,108.66,126.47,120.67,82.13,95.56,97.1,90.96,97.31,115.99,115.56,82.31,90.74,95.07,100.18,92.95,117.04,115.37,80.9,91.53,93.07,94.99,98.37,116.53,111.87,81.34,97.31,102.51,109.34,55.05,93.57,93.33,73.63,90.26,91.65,91.62,95.36,109.55,105.14,76.04,90.39,92.23,94.05,93.32,112.73,109.38,78.53,92.87,95.45,98.26,101.93,118.71,109.45,83.16,106.12,109.03,113.07,83.8,44.96,82.98,74.96,96.95,99.85,104.45,102.82,77.49,93.93,76.23,93.93,94.69,92.34,94.59,108.01,106.71,80.51,92.86,93.16,94.38,97.61,114.66,112.35,86.61,97.71,92.86,93.25,96.96,111.82,108.7,75.81,88.2,93.36,96.55,99.31,113.42,113.97,84.21,95.43,97.1,99.54,103.99,119.94,117.29,80.33,96.31,98.32,102.63,108.29,131.6,131.53,104.2,100.23,102.91,104.77,107.99,125.17,126.42,92.17,101.77,104.04,107.93,111.3,129.74,128.23,94.35,105.33,107.49,110.11,115.15,134.06,130.95,97.03,108.31,110.56,114.4,117.89,NA,131.78,102.95,115.32,118.68,126.56,128.9,145.22,143.02,107.84,118,118.87,124.12,126.07,145.3,143.45,106.31,117.15,120.41,123.51,129.5,143.39,131.7,85.52,116.69,120.26,123.11,127.12,142.96,140.58,102.13,114.86,117.07,119.71,124.37,142.79,141.01,104.38,116.32,118.82,118.03,121.92,139.59,140.46,101,111.15,114.08,117.09,121.34,139.29,134.23,100.26,114.32,115.46,118.62,120.92,138.74,133.83,90.59,112.25,114.02,117.56,123.25,137.98,133.66,98.85,114.67,116.9,120.46,124.38,139.66,133.07,100.61,117.2,119.15,121.78,127.44,141.16,125.06,100.47,94.26,120.39,120.13,122.71,134.53,124.07,94.38,116.31,119,123.69,124.39,136.93,126.14,94.27,114.2,117.38,120.31,127.8,137.83,125.64,91.39,115.15,119.68,120.33,123.93,134.22,124.69,95.29,115.84,117.8,119.63,123.27,131.2,109.8,86.48,93.48,113.72,115.84,120.39,130.28,117.48,91.28,115.12,116.78,118.49,123.13,132.83,124.88,94.77,115.35,117.98,117.87,120.32,126.54,120.2,90.46,115.8,117.25,119.34,121.52,134.65,126.26,95.19,117.15,119.11,120.14,121.9,140.17,127.54,95.31,115.61,117.91,121.12,125.5,146.99,133.05,101.96,119.98,122.63,125.07,130.46,146.29,132.84,96.95,118.83,122.29,123.66,127.01,141.86,133.88,99.28,121.09,124.93,127.06,132.52,150.33,127.79,99.64,95.69,123.06,124.95,127.62,146.14,138.84,98.59,119.73,122.31,127.61,130.44,149.77,142.11,101.77,121.34,125.39,129.37,134.6,155.03,153.77,104.35,121.93,124.69,128.09,135.71,155.3,148.7,102.69,120.6,123.36,129.04,133.91,150.48,143.45,107.14,122.29,130.44,135.95,139.71,159.3,164.58,115.17,128.61,133.74,138.69,144.99,163.44,168.37,114.05,130.76,137.13,140.11,151.73,168.01,173.21,119.88,128.02,133.55,134.26,141.06,161.18,158.09,109.02,125.28,131.07,146.48,150.86,163.74,165.86,116.72,132.95,139.65,141.3,145.94,166.71,165.57,118.94,137.7,147.9,157.58,83.5,131.29,130.5,102.62,129.81,135.06,135.88,136.98,162.7,156.61,109.75,132.63,136.21,140.72,146.08,167.42,165.22,115.98,144.02,139.22,149.76,158.3,175.91,160.25,119.52,147.31,150.55,152.81,155.71,106.66,67.75,101.65,132.07,134.64,139.36,144,127.43,99.99,97.76,128.04,131.43,132.24,135.63,151.14,147.46,111.44,128.23,131.93,132.69,137.17,157.19,152.68,117.62,132.33,133.45,134.43,140.32,158.93,149.24,110.34,133.38,137.66,136.74,151.66,167.11,163.02,116.65,136.16,140.56,142.98,148.75,169.32,164.26,119.94,142.6,150.18,154.39,162.88,184.44,177.96,120.16,154.41,147.79,144.37,161.13,184.05,178.88,134.57,152.37,154.93,151.3,163.09,184.87,181.13,132.44,151.19,157.49,161.34,167.55,191.12,184.22,138.55,153.96,156.16,161.21,165.71,184.37,176.05,135.78,157.28,160.36,166.77,171.14,195.46,186.71,140.72,NA,162.48,168.49,173.68,193.73,192.38,139.1,153.27,154.68,164.71,169,194.33,188.4,137.18,160.18,157.48,164.04,170.86,190.51,187.17,133.05,154.84,158.97
"city","Phoenix","transit","","Arizona","United States",100,106.52,101.87,100.82,105.16,91.88,76.41,93.08,98.96,104.56,99.17,104.23,91.12,72,99.23,99.69,102.22,102.26,107.84,93.76,71.58,97.06,100.53,100.89,98.64,109.81,99.8,75.87,96.51,101.08,106.45,105.28,110.02,94.05,79.67,97.86,103.87,104.89,104.44,112,91.85,85.49,102.84,110.35,103.18,100.09,109.35,102.76,82.27,103.69,105.7,105.88,105.23,117.88,102.6,80.26,100.98,96.33,85.38,82.61,81.97,77.57,63.75,83.36,68.85,55.34,56.57,55.44,47.82,40.34,53.01,50.59,48.96,49.49,48.28,42.99,39.71,47.74,42.49,42.08,40.69,41.45,40.21,36.15,42.08,40.64,39.22,41.84,42.02,38.34,30.87,42.3,37.46,40.15,38.44,42.1,38.96,35.8,41.22,40.44,40.11,42.12,42.94,37.68,33.88,41.39,42.56,43.76,42.24,46.96,41.55,36.92,45.4,44.19,43.64,44.65,48.55,42.92,35.9,NA,NA,47.88,46.64,50.63,47.02,40.35,51.13,51.09,51.46,48.82,56.11,50.46,45.41,48.73,54.13,52.49,53.07,56.28,51.23,45.22,51.17,52.82,52.39,51.03,53.94,50.58,46.53,54.79,54.57,55.16,56.66,58.3,55.07,47.87,57.18,55.6,56.22,53.33,56.75,51.83,41.81,52.81,55.57,51.98,51.74,54.62,48.99,43.34,50.44,50.93,49.07,50,49.99,42.28,38.47,52.56,47.54,49.1,47.89,50.17,46.7,38.14,48.56,49.5,48.8,50.8,50.55,47.12,40.29,51.32,50.19,50.25,50.06,51.61,46.84,40.63,50.55,51.41,52.49,50.11,53.42,48.72,40.15,52.93,51.82,49.07,47.31,53.03,50.09,41.58,49.85,49.89,51.46,50.73,55.37,50.32,45.93,53.85,54.89,56.35,55.34,56.9,55.3,45.99,54.67,55.4,53.45,55,58.79,53.18,46.34,56.61,56.51,58.62,58.11,63.31,54.32,46.87,48.3,58.61,58.21,59.54,58.94,61.24,49.13,57.55,56.08,63.33,65.04,69.18,62.23,53.72,61.74,61.48,60.46,62.08,63.71,62.74,54.07,63.13,58.84,61.35,63.08,64.65,61.06,49.46,59.69,59.14,62.59,61.72,65.56,61.4,50.65,61.31,63.05,63.31,61.75,65.57,63.15,52,63.8,61.37,64.18,61.66,66.86,63.98,51.12,60.42,60.4,58.89,64.03,69.11,64.31,52.72,62.59,61.18,59.31,59.72,67.99,60.38,49.36,60.69,61.92,63.51,58.57,65.27,59.92,52.88,61.1,62.75,62.76,61.12,66.65,61.9,50.72,61.7,64.41,62.21,37.08,57.45,56.84,52.89,63.26,62.65,61.41,62.8,60.66,58.4,49.42,60.38,60.58,60.55,54.09,63.32,59.22,52.07,60.35,61.9,60.74,59.07,66.33,59.42,54.56,64.43,64.19,61.49,47.43,32.6,53.58,53.63,66.7,65.83,64.94,57.36,50.2,56.19,54.99,65.8,67.52,63.51,62.17,64.36,57.89,52.54,61.79,62.6,64.69,61.88,67.86,63.8,54.57,62.61,64.6,65.52,64.49,67.75,61.53,50.47,58.14,63.19,63.87,64.17,66.55,65.14,56.68,69.29,70.53,70.34,69.66,73.83,66.85,57.78,68.38,68.04,69.42,71.17,78.8,72.51,68.77,67.23,74.24,73.43,71.44,79.17,72.28,62.61,73.43,70.17,72.58,73.82,78.84,72.36,60.37,74.39,73.73,76.38,75.14,82.24,75.02,64.72,78.13,79.99,79.06,77.05,NA,76.58,68.09,82.92,80.68,82.97,85.98,88.41,85.3,69.55,86.87,80.69,85.57,83.35,90.41,79.3,70.33,85.16,83.66,85.98,85.43,90.77,78.45,61.19,89.11,88.75,88.05,87.26,90.22,82.18,68.91,83.31,85.52,81.29,81.54,86.54,83.16,67.73,82.24,85.3,78.01,82.33,85.61,78.41,68.63,82.67,80.12,80.83,82.17,87.88,81.31,67.46,83.37,78.49,83.37,80.92,87.07,78.38,62.76,80.62,80.23,82.19,82.49,87,80.46,67.55,84.66,82.01,83.23,82.47,86.5,79.81,65.92,82.34,85.33,85.1,84.26,88.22,78.8,68.89,74.9,86.98,87.01,84.39,86.08,75.46,68.46,86.18,83.02,84.44,82.54,85.79,74.72,64.67,80.16,78.57,79.36,79.77,83.21,74.24,64.21,82.09,83.9,78.57,83,85.48,76.15,67.29,84.89,83.76,82.58,83.21,82.71,73.92,63.77,75.54,87.26,84.02,86.98,86.07,74.52,69.04,82.19,82.85,84.91,85.96,89.7,83.72,69.68,86.61,87.41,84.76,83.63,76.97,76.2,64.67,87.86,85.48,86.43,84.66,86.52,80.54,72.65,99.84,99.41,97.56,97.63,95.15,82.64,70.88,100.99,97.17,97.13,98.22,103.13,86.82,78.73,109.18,109.58,107.93,116.6,114.16,91.4,79.3,113.7,115.58,110.83,110.69,105.89,88.3,75.85,113.53,108.8,112.74,116.12,116.09,90.17,78.92,82.94,112.52,114.47,113.05,111.05,94.24,76.48,117.04,110.84,107.17,106.26,114.51,94.73,83.06,117.42,113.48,115.38,111.79,120.56,105.33,80.75,114.06,115.04,112.03,117.09,126.97,100.04,85.13,108.83,104.86,115.15,108.04,117.21,100.61,85.83,105.63,106.02,107.62,106.65,115.3,102.97,85.17,110.41,108.8,110.12,114.47,115.82,106.92,83.18,107.88,112.5,111.56,115.22,116.96,106.59,85.22,111.29,108.61,107.55,106.88,116.25,100.47,76.19,100.81,104.11,115.27,104.23,109.37,93.98,77.82,111.97,107.86,110.02,107.81,114.68,98.99,81.15,107.49,108.56,109.06,58.03,88.45,87.1,76.94,108.86,106.76,102.61,105.23,112.05,93.15,76.35,101.08,105.45,100.5,102.08,112.28,93.07,77.66,108.1,102.82,104.2,104.93,106.38,89.62,77.8,88.67,90.83,90.29,86.86,60.53,47.27,71.12,87.72,83.44,86.9,84.05,75.43,64.94,67.22,100.72,100.28,102.02,100.6,103.52,88.61,77.31,102.54,110.01,108.56,104.26,107.75,91.08,77.04,89.3,108.83,113.02,108.18,110.1,88.78,76.25,106.22,108.26,102.02,108.74,107.54,92.06,78.62,104,109.19,106.94,108.44,111.17,93.63,76.13,105.14,111.84,114.23,116.75,122.12,108.4,83.4,113.89,115.85,112.05,116.53,120.57,101.98,85.3,100.75,115.11,107.28,112.06,120.85,105.99,87.39,108.7,117.94,119.15,121.95,129.51,106.41,92.83,106.51,111.31,109.55,110.42,117.57,103.37,89.94,120.46,120.02,120.44,122.77,130.71,106.48,93.97,NA,121.89,124.69,126.39,129.67,113.7,91.69,117.52,114.26,121.24,119,125.16,105.06,86.93,118.52,115.54,121.25,123.62,128.92,111.13,89.92,122.11,121.63
